horizon,bucket,sym,n,n_active,active_rate,sum_pnl,per_trade_pnl,hit_rate_active
60,pm_late_13:30-14:50,2,29784,22751,0.7638665055063121,-0.9494005524967448,-4.1730058129169916e-05,0.15041097094633202
60,pm_late_13:30-14:50,3,29784,96,0.0032232070910556,-0.03814113835200667,-0.0003973035245000695,0.125
60,pm_late_13:30-14:50,4,29784,15400,0.5170561375235025,1.3207726757322686,8.576445946313433e-05,0.2988961038961039
60,pm_late_13:30-14:50,-1,148920,57207,0.38414585012087027,-1.23384417228918,-2.1568062864495254e-05,0.23023406226510743
60,pm_open_13:10-13:30,0,14424,539,0.037368275097060456,0.033932649546600926,6.295482290649523e-05,0.3098330241187384
60,pm_open_13:10-13:30,1,14424,11077,0.7679561841375485,-0.980594858827059,-8.852530999612341e-05,0.2872618940146249
60,pm_open_13:10-13:30,2,14424,11689,0.8103854686633388,-0.9442467785516562,-8.0780800628938e-05,0.17169988878432715
60,pm_open_13:10-13:30,3,14424,105,0.007279534109816971,0.07130676890015603,0.0006791120847633907,0.3619047619047619
60,pm_open_13:10-13:30,4,14424,12266,0.8503882418191903,3.51104935316557,0.00028624240609535057,0.34037175933474645
60,pm_open_13:10-13:30,-1,72120,35676,0.494675540765391,1.6914471342336115,4.741134472008105e-05,0.2682195313375939
